,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCES,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUN,AVG WORD LENGTH
0,37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
1,38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
2,39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
3,40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
4,41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
5,42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
6,43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
7,44.0,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
8,45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
9,46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
10,47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
11,48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
12,49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
13,50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
14,51.0,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
15,52.0,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
16,53.0,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
17,54.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
18,55.0,https://insights.blackcoffer.com/evolution-of-advertising-industry/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
19,56.0,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
20,57.0,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
21,58.0,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
22,59.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
23,60.0,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
24,61.0,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
25,62.0,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
26,63.0,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
27,64.0,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
28,65.0,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
29,66.0,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,0,0,0.0,0.0,18.29032258064516,0.2345679012345679,7.409956192751891,18.29032258064516,266,1134,1.7583774250440918,8,4.738977072310406
